name,line
Geralt," Sorry's not good enough. You're gonna read ""Ghouls and Alghouls"" in"
Ciri," No, please...I'd rather clean the stables!"
Geralt, End of discussion.
Geralt," Better not. Vesemir says if it does, he'll make you eat a bowl of"
Ciri, Hahaha. Eeewwww!
Geralt, Exactly. So you'd best behave.
Geralt, Come on. We'll practice with the others down below.
Ciri, Shall we run the walls?
Geralt, Of course. This a witcher school or an elven bathhouse?
Geralt," Not this time. Believe me, you don't want to keep Vesemir waiting."
Ciri, Beat you to the bottom!
Geralt, Hah. Maybe if you fall. What did I tell you about breathing? Through
Ciri, Huhhh... Huhhh... Huhhh...
Geralt, Ciri. Cut it out.
Ciri, Run into trouble? Should I turn back and help you?!
Ciri, Hey! You said we weren't allowed to do that!
Geralt, I said you weren't allowed to do it.
Geralt, I win.
Ciri, Your legs are longer! I'll show you yet -- just need to grow a bit!
Ciri, First! Hehe. Na-na-na-na-naaa!
Ciri, Oh no... Vesemir's got that look.
Geralt, What'd you expect?
Vesemir," Anything to say for yourself, young lady?"
Ciri," I'm very sorry, Uncle Vesemir."
Vesemir," Young blood craves action, I understand that. But when you fight a"
Ciri," ...""by markings, like unto the panthera tigris that in Zerrikania dwells,"
Vesemir," Hmm. So you did read the chapter. Still, you should've asked if..."
Ciri," But you were asleep, Uncle Vesemir."
Geralt, Don't try to weasel your way out of this.
Ciri," ""A witcher must know how to trick his opponent."" You said so yourself."
Geralt," Might've. But don't use my words of wisdom on Vesemir, got it? That's"
Geralt, So you did the reading. Why not admit it right off?
Ciri," ""Never pounce on an advantage as soon as it appears. Wait till it"
Vesemir," Well, you're a quick study. Quick, but mischievous."
Vesemir," Fine, we've talked enough. Geralt, you're with me. Lambert, you're"
Ciri, Huh... Again?
Vesemir, Stop groaning and grab a sword!
Vesemir, What do you think -- should we start by reviewing the fundamentals or
Geralt, Should work on the basics. Even skilled masters need to hone the
Vesemir," Draw your sword, Geralt! Quick cuts! One, two, three! Strong strikes"
Geralt," Position, Ciri! Footwork! Remember!"
Vesemir," Now -- parrying, Ciri, see how Geralt holds his sword? Its angle?"
Ciri, What am I supposed to parry? I'm fighting a stupid dummy.
Vesemir," Pretend now, live later! Riposte. Strike, counter-strike! Now,"
Geralt, Let's skip to free training. No point going over the basics again.
Lambert," Whooaaa, you really showed him, kid!"
Geralt," Ciri, get down here!"
Vesemir," Huh, the little she-devil. Soon as she's back, we'll set her to"
Geralt," Find that helmet?! Ciri?! Ugh, I'll make sure to find every last blade"
Geralt, What the...?
Geralt, Vesemir!
Geralt, Noooooo!!!
Vesemir, You all right?
Geralt, Mhm. Had a nightmare...
Vesemir, About...
Geralt, Take forever to explain.
Vesemir, Dawn's some way off. We've got time.
Geralt," Started in the guest room at Kaer Morhen. I was relaxing in the tub,"
Vesemir, Triss?
Geralt," Yennefer. Funny, isn't it? She's never been there. Seemed so real in"
Vesemir, Was she nagging you about something?
Geralt, Hm. Mhm.
Vesemir," True to life, indeed. We'll find her."
Geralt," In the dream, I went and found Ciri. Then we trained."
Vesemir," Those were the days... Hm, little she-devil. I've trained kids who"
Geralt," No. The Wild Hunt appeared, attacked Ciri... I couldn't move. Stood"
Vesemir, It was just a dream.
Geralt, Be dawning soon. Time to go.
Geralt," That's the problem -- it was more. In the past, when Ciri'd"
Vesemir," We taught her how to defend herself from anything, wraiths"
Geralt, I know we will. That's not what worries me. You've seen her tracks.
Vesemir, Be surprised if she wasn't in trouble. She always poked her nose
Geralt," Don't know. Guess I thought, once we were finally reunited, things"
Vesemir, Calm? With Yennefer? Hmph. Good luck.
Geralt, Rather not talk about it.
Vesemir, Gotcha.
Geralt, So...time to hit the road?
Vesemir," Wait. Show me the letter from Yennefer, might've overlooked some hint"
Geralt, Didn't overlook anything. We were meant to meet in Willoughby -- that's
Vesemir," Stop talking and give me the letter. Well, how about that! It does"
Geralt," You were gonna read it, not sniff it."
Vesemir," ""We must meet. Soon""...""Willoughby, near Vizima""... Hm, nothing else"
Geralt, That's private. Very private.
Vesemir," A-ha...I understand. At least I think I do. Maybe not entirely,"
Geralt, Stuffed unicorn. Used it once or twice. In certain...situations.
Vesemir, Hm! The things young folk get up to these days...
Geralt, Back on topic. How's it look -- how far behind Yennefer are we?
Vesemir," Two, three days... Trail's fresh. But it looks like it leads toward"
Vesemir, Wait -- hear that?
Geralt," I hear it, I smell it. Ghouls."
Vesemir," Of course, when armies pass, necrophages follow. Let's go before any"
Geralt, I ever tell you about this sorcerer I knew? Couldn't stop talking about
Vesemir, Because you can brew potions from their blood?
Geralt," Heh, no. Because by eating rotting corpses, they prevent epidemics."
Vesemir, Hrmph. Did he know they eat the living as well?
Geralt," No. Really upset him, too... His theory collapsed."
Vesemir, War's not exactly going our way.
Geralt, We have a side?
Vesemir, The Northern Realms.
Geralt," Radovid's Realms, don't you mean? Temeria and Aedirn are no more."
Vesemir, Radovid's pledged to restore the old borders -- soon as he wins the
Geralt, Believe that?
Vesemir, Hmph. Gotta believe in something. It's what keeps us going.
Vesemir, We going?
Man, Help me! Help!
Man, Ha-has it gone?
Geralt, Yeah. Come out!
Man," Gods, that was close! I was sure I'd end up like my mare."
Vesemir, Provided you got lucky.
Geralt, Your horse died quickly. But griffins like to toy with their prey. Eat
Man," Ahh-ha. You'd...you'd like a reward, I suppose?"
Geralt," You don't owe us anything. You were in need, we helped."
Man, And they call witchers heartless. Say they won't lift a finger without
Geralt, They also say mice are born of rotting straw.
Geralt, Could always use a few crowns.
Man," Thing is, I've a meager purse at the moment. Nilfgaardians requisitioned"
Geralt, Back to the trail?
Vesemir, Like I said -- leads to the main road and ends there. Muddled.
Man, You seek someone?
Geralt," Yes, a woman, medium height, long, black hair. Seen anyone like that?"
Man, No. But...
Geralt, What's it to you?
Man," Well, you see..."
Man, There's an inn here in White Orchard. Sole one around. Gets its share of
Geralt, Not a bad idea. Especially since that wound needs cleaning.
Vesemir," Bah, beast barely grazed me. But sure... Could use a good rye. Nice"
Geralt, Let's go.
Geralt, So...a griffin this close to the village? Strange.
Vesemir," My thoughts exactly. In a forest or mountains, sure, but here? And"
Geralt," Maybe it's the war. Corpses everywhere, stench of blood, burnt flesh..."
Vesemir," Men, too. We need to watch ourselves in White Orchard. And we should"
Villager, Take that down before there's trouble.
Villager," This ain't Temeria no more, old man. It's Nilfgaard now."
Villager, Wha? Witchers...?
Innkeep, Beg your pardon for those thugs.
Vesemir, No need. We're used to it.
Innkeep," Folk're jumpy 'round here. Armies just passed through, now a griffin's"
Geralt, Mhm. Already had the pleasure.
Geralt, One mean beast.
Innkeep," Mean? Light way for a hunter to put it! Clawed Lena so bad,"
Vesemir, With a drop of vodka for me.
Innkeep, And you? Something to wet your tongue?
Geralt," Ran into your kinsman, Bram."
Innkeep, Bram? How is he?
Vesemir, Alive. Sends his regards.
Innkeep, Master witchers...food and drink on the house. What can I
Geralt," Looking for a woman. Raven-haired, violet eyes. Dresses in black and"
Innkeep, I've not seen nor smelt such a lady. Believe I'd remember.
Vesemir, Yeah. Especially hard to forget this one.
Innkeep," Plenty of travelers about, though, folk from all over. Might be worth"
Geralt, Pretty busy place you got.
Innkeep," Nation's on the move. Some search for kin, others just want to get out"
Geralt," So, war's been good for your trade?"
Innkeep," Aye, so far. But it'd be best to know peace again. Times like these"
Geralt, There a contract on the griffin?
Innkeep," Nay, not at the moment. Used to be, soon as a beast'd built a nest"
Vesemir," Shame. We might have done something, but not for free."
Geralt, Thanks. For everything.
Innkeep," Master witchers, would you be of a mind to kill the griffin? Beast's"
Geralt," If someone'll pay us, won't say no."
Geralt, Help you bandage that up?
Vesemir, Please. I'm not decrepit yet.
Geralt, Then I'll ask about Yennefer.
Vesemir, Mhm. Just remember -- we'd rather not draw any attention.
Geralt, I'm looking for someone.
Geralt, Just wanna talk.
Geralt," Running low on patience. Once it's gone, your heads will roll."
Geralt, See a raven-haired woman here? Dressed in black and white?
Geralt, Raven-haired woman dressed in black and white. Seen her?
Geralt, Which way did she go?
Geralt, Uh-huh. And I'll take your tongue if you don't shut up.
Geralt, Waste of words. Don't have time for your kind.
Man, What a waste of time! The earth shall revolve around the sun before you
Geralt, Got a minute?
Aldert," Why not. Aldert Geert, assistant professor in contemporary history at"
Geralt, Geralt of Rivia. Witcher with tenure. I'm looking for a woman -- long
Aldert," Of course not. Unlike this populace, I know the Horsewoman of War is"
Geralt, Horsewoman of War -- what's that about?
Aldert," Folk say an omen, a beautiful phantom rides the fields at night."
Geralt, I can vouch for the last bit. Know where they saw her?
Aldert," No. Facts interest me, not fairytales."
Geralt, Not a place I'd ever expect to find a scholar. Take it you're fleeing
Aldert, Quite the opposite. Chasing it. I'm headed for the front.
Geralt, Tired of life?
Aldert," I seek knowledge, which I value more than life itself. I've a thirst"
Geralt, Take my advice -- go back to your books while you can. War's no
Aldert," Why would he do that? Me, a neutral civilian, a scholar..."
Geralt, Boots.
Aldert, Come again?
Geralt, He'll kill you for your boots.
Geralt, Interesting. We need somebody to describe war -- what it's really
Aldert," Ah, I see you lack the polish of the academy. Rape and cruelty are"
Geralt, Hm. Tell that to the people whose houses burned down.
Geralt, War reached Novigrad yet?
Aldert," No, but it's only a matter of time. Nilfgaard on one bank, Redania on"
Geralt, Many a ruler's choked on that bone.
Aldert, True. We value our liberty in Novigrad and we know how to fight for
Geralt, Mhm. Scholars especially.
Aldert," The sword is not the only weapon. Do not forget, architects from our"
Geralt, Gotta go. So long.
Aldert," A moment, witcher. You strike me as a man of the world. Are you"
Geralt, No. And I don't have time to learn.
Aldert," But the rules are quite simple. Come, let's play."
Geralt, Hmm... Why not.
Aldert, Splendid! Here's how it's done...
Aldert," • Well, well. You have a knack for this game."
Geralt, I'll remember that. Thanks.
Geralt, No thanks. Got some other things on my mind.
Aldert," Shame. I'd ask the locals, but since they can't count to ten,"
Geralt, Looking for a woman.
Dimm," Ahh, like everyone."
Geralt," Not like everyone, and not just any woman. Mine smells of lilac and"
Gaunter, Two schnappses! Hah. It'll lift your spirits.
Geralt," Fine, I'll have a drink."
Geralt, Don't generally drink with strangers.
Gaunter, Come. I know this to be a vile place. You might down a little glass
Geralt, Finding her -- that'll lift my spirits.
Gaunter, You look haggard. It's just a few drops to improve your mood. A
Geralt, Can we cut to the chase? You seen her or not?
Gaunter, Yennefer of Vengerberg?
Geralt, Never mentioned her name.
Gaunter," Yet you described her perfectly. And once I hear something, I never"
Geralt, How do you know Yennefer?
Gaunter," What a question. Master Dandelion's ballads, of course. The only way"
Geralt, And runs into a very patient witcher?
Gaunter, Into Geralt of Rivia himself. The Butcher of Blaviken.
Geralt, You seen Yennefer?
Gaunter," Deepest apologies, but I must ask: Is this about love?"
Geralt, None of your business.
Gaunter," Yes, as a vagrant I deserve no explanation."
Geralt, Guessed it. It's love.
Gaunter, I knew it at once.
Geralt, What do you know? Tell me.
Gaunter," Before you appeared, it never occured to me that might've been"
Geralt, Get to the point.
Gaunter, A Nilfgaardian scout from the local garrison saw her.
Geralt, Where?
Gaunter," At their camp. She rode in -- dark of night, black and white,"
Geralt, Where to?
Gaunter, I'm not omniscient. Ask at the garrison.
Geralt, Thanks.
Geralt," Recognize me from Master Dandelion's ballads, too?"
Gaunter, (drinking) To your health.
Geralt, What do you do? Who are you?
Gaunter," A mangy vagrant. Gaunter O'Dimm, at your service."
Geralt, Vagrant -- that a profession now?
Gaunter," Ah, once a merchant of mirrors. The madding crowd dubbed me Master"
Gaunter, We men of the road must stick together. Perhaps one day I'll be in
Geralt, Mhm.
Geralt, Better round up someone else to help. Three of you don't stand a
Geralt," If I had a bag over my head and my arms tied behind-- Actually, no,"
Geralt," Wouldn't want to stay long, anyway."
Geralt, Haven't done anything to you. So just stay calm.
Geralt, Nice meeting you.
Soldier, Military camp. No locals allowed without the express consent of the
Geralt, I look like a local to you?
Geralt, Dead wrong -- I make trouble go away. I'm a witcher.
Soldier," A witcher...? Captain Peter Saar Gwynleve is in the tower. Turn right,"
Geralt," Huh, you Black Ones aren't so scary after all. Can even be nice when"
Soldier," Don't get accustomed, Nordling."
Geralt, Guessing your captain's got work for me?
Soldier," This is the army, Nordling. There is no guessing."
Peter, How much grain will your village give?
Peasant," Whatever you say, Your Excellency."
Peter, Look at my hands. Look! See the calluses? These are not the hands of an
Peasant," Forty bushels. There'd be more, sir, but our lads, the Temerians, that"
Peter," You will give thirty, and that will do. Let us settle on it. And I wish"
Peasant," Ah, thank you, sir! Thank you kindly!"
Peter," I summoned only the ealdorman and the smith, Willis -- but it is said"
Geralt, Very perceptive of you.
Geralt," Plan to requisition something from him, too?"
Peter," If it is necessary -- yes, of course. We are at war, in case you have"
Geralt, Geralt of Rivia. Witcher.
Peter, A vatt'ghern -- that explains why I did not hear your footsteps. What
Geralt, Yennefer of Vengerberg. Where was she headed?
Peter, That is a military secret.
Geralt, Haven't thrown me out yet. Haven't called the guards. So go ahead --
Peter," There is a griffin in the area. Slay it, and then I shall see what I"
Geralt, Why do you care about this griffin?
Peter, Because I care about people. The beast has killed ten already. Including
Geralt, Too big a hassle?
Peter, No. Too high a risk. I cannot disperse my forces. Temeria's army we have
Geralt, It's a deal. Some questions first before I start. Know where the
Peter," It kept to the Vulpine Woods at first. I sent a patrol there, five young"
Geralt, Meaning it's abandoned its lair. Gonna have to set a trap.
Peter, I judge from your tone this will not be easy. What do you require?
Geralt," I'll need bait, a specific herb -- buckthorn. Scent should lure the"
Peter, Buck...buckthorn? I do not know this. I am not yet fluent in the
Geralt," Mhm. Probably mastered the basics, though. ""Hands up,"" ""kill them""..."
Peter," No. First came idioms. ""Don't play with fire,"" for example. Go to"
Geralt," Need more information about this griffin. Its sex, why it's abandoned"
Peter, Shall I bring you witnesses?
Geralt, They won't say anything I don't already know. I need to go where
Peter," Mislav. He has a hut south of the village, very near the wood. Helpful"
Geralt, Tomira and Mislav... Thanks.
Peter, (in Nilfgaardian) Good luck to you.
Geralt, Bad time?
Tomira, Not at all. Hand me the beggartick. It's the...
Tomira," ...red bloom. Well, well, one versed in herbs."
Geralt," Probably saying too much...but I know a bit -- for instance, that"
Tomira, In large doses. Small ones soothe pain and bring forth pleasant dreams.
Geralt, Looking for buckthorn. Know if it grows anywhere around here?
Tomira," Mhm. Bottom of the river, where the channel's widest. But you do know"
Geralt, ...it'll stink worse than a week-old carcass? Counting on it.
Tomira," Oh yes, the griffin. Might've guessed. "
Tomira," I was thinkin'... A few years ago, we had trouble, drowners under the"
Geralt, Captain Peter Saar...something something.
Tomira, Ah. Good to know the Black Ones are looking out for our welfare.
Geralt," Doubt Emperor Emhyr cares about you, but his captain just might."
Tomira, there are no decent men in the army. There're only orders.
Geralt, Nilfgaard values one thing -- order. Griffin's
Tomira," Yes. First they'll tend to the monsters, then to the folk."
Geralt," Not from here, are you? Lot of bitterness in you. Too much for"
Tomira," True. And you're in a hurry. Elsewise you'd not use bait, just wait"
Geralt, Believe we could have an interesting conversation.
Tomira, Maybe next time.
Geralt, Griffin do that to her?
Tomira, To Lena? Yes. Attacked her at night. She was walkin' in the woods.
Geralt, At night...through the woods? In wartime?
Tomira," Meeting a boy. The young, you know...do foolish things for love."
Geralt, I've agreed to kill the griffin. No more victims after I do.
Tomira," Ugh, there will be, of course. With the griffin gone, others will"
Geralt, So what do you think I should do?
Tomira, Ply your trade. But don't think you can change anything.
Geralt, Could try to help her with one of my potions. Swallow can
Tomira, But?
Geralt, Witchers' potions aren't for humans.
Tomira, She'll die as it is.
Geralt," Yes. A peaceful death, soothed by your concoctions. If I give her"
Tomira, I understand. Do as you will.
Geralt, Got a potion for Lena. Swallow.
Tomira," First sign of spring, symbol of rebirth... Fitting, as names go."
Geralt," We'll see. Like I said, could harm her. Deeply. Works on me"
Tomira, Why'd you choose this in the end?
Geralt, Decided it was better than doing nothing.
Tomira," I like you, witcher. Here -- a small gift. For giving a damn."
Geralt, Anyone home? Must be out hunting.
Geralt, Trail's fresh. Mislav just left home.
Geralt, You Mislav?
Mislav, Shh. Hear that?
Geralt, Wolves? No -- wild dogs.
Mislav, Yes...more dangerous than wolves.
Geralt, I'm hunting bigger game. The Nilfgaardians the griffin killed --
Mislav," Ah, I see... You a witcher? That monster slayer they's talkin' about"
Geralt, Mhm.
Mislav," I'll show you, sure. But, er, I gotta kill those mutts 'fore they"
Geralt, Sure. Griffin's not going anywhere.
Mislav," No, dogs might, though. So step careful, now. Come on."
Geralt, Blades don't worry me. Time does. I'm in a hurry.
Mislav," Can't fault you for it. Come on, then. I'll show you."
Geralt, Dogs more dangerous than wolves? Don't think so.
Mislav, It's the truth. Know why?
Geralt," No, but I guess you're about to tell me."
Mislav, Wolves hunt to fill their bellies. Wild dogs kill for sport.
Geralt, Just like humans.
Mislav," Aye, they've learned much from us. Why not cruelty, too?"
Geralt, These dogs been a problem for awhile now?
Mislav," Since the war started. Soldier on the march, he'll stop to rape a"
Mislav, Too late. Attacked another one.
Mislav, Dieter...
Geralt, You know him?
Mislav," We served at the lord's manor together, where the black army's encamped"
Geralt, Sorry. Hope you weren't close.
Mislav, No. Not at all.
Geralt, So...can you show me where you found the Nilfgaardians?
Geralt, Before what?
Mislav, Before they drove me from the village.
Geralt, What'd you do?
Mislav," Nothin'. I'm a freak. Sorry, I'd rather not talk about it."
Geralt," Don't have to, then. So...can you show me where you found the"
Geralt," I'm a freak, too."
Mislav," Aye, but of another kind."
Geralt," If it's lycanthropy, I can help."
Mislav, What?
Geralt, Lycanthropy. Werewolves? Handled a few cases in the past. It's
Mislav," The lord's son, Florian, and I... We loved each other. Dieter walked"
Geralt, I'm sorry.
Mislav," Ah, ancient history now. I was to show you where I found"
Geralt, So...can you show me where you found the Nilfgaardians?
Geralt, Griffin -- know anything about it?
Mislav," Oh, not much. It's not my kind of game."
Geralt," You're his kind, though. Survival instincts alone oughta make you care."
Mislav, I walk silent through the woods. No griffin can hear me nor spy me.
Mislav," Twas¹ here. One lay there, by the stump, headless. The other hung from"
Geralt, I'll be fine. Not the first griffin I've dealt with. Not likely to be
Mislav, Hope you're right.
Geralt, Nothing to mourn. They were Nilfgaardians.
Mislav," They were lads, like ours. Just clad in black plate."
Mislav," Good huntin', now."
Geralt, Ground still damp with blood. Griffin attacked the Nilfgaardians here.
Geralt," Griffin's nest. What remains of it, at least."
Geralt, Female. Larvae in her wounds have already hatched. Been dead at least
Geralt, Deep cuts over the whole body. Not a drop of blood on the
Geralt," Beak tip's worn, gray hairs on the coat -- ten, twelve years old."
Geralt," Thick shaft, dense barbs -- a royal griffin."
Geralt, Explains why the male I ran into was so aggressive. Hunted the
Geralt, Done all I could. Should talk to Vesemir.
Vesemir," Good man, whose field is that the other side of the river?"
Peasant," By the wood? Boyan Klimmek's. Good lad, master witcher, though he..."
Vesemir," Yes, yes. This Boyan, will he venture out to inspect his grain any"
Peasant, What for? Harvest is a long way off yet.
Geralt, Got good news and bad news. Good news first -- captain of the
Vesemir, And the bad's that we have to kill the griffin for him. What else
Geralt," Griffin's abandoned its lair. Gotta make a lure, set a trap."
Vesemir, And how's that going?
Geralt, Been busy with the griffin contract.
Vesemir, And?
Geralt," Learned some things. It's a male, had its nest in the Vulpine Woods."
Vesemir," Hm. It's always the same. Instead of sending out for a professional,"
Geralt, Got the buckthorn.
Vesemir, Oughta work like a charm. Powerful scent.
Geralt, More like stench.
Vesemir," City boy. Rotting meat, manure, piss -- standard smells of the"
Geralt, How can I forget? You ever gonna stop bringing that up?
Vesemir," Alright, about the griffin -- learn what you can. We gotta"
Vesemir," Hm-hm. Fine, if everything's ready, say the word and we'll get to"
Geralt, I'm ready. No point in waiting. Let's find a good spot to ambush it.
Vesemir, Picked one out already. Other side of the stream -- there's fields and
Geralt, Good. Meet you there.
Geralt," A stream, amber waves of grain...charming place. Perfect for an ambush."
Vesemir," I know how to choose 'em. So, ready?"
Geralt," Let's start. Wind's good, bait's scent will spread quickly."
Geralt, I need a minute.
Vesemir," Ehh, drag a man outta the tavern, and then... Fine, but hurry."
Vesemir, Now all we have to do is wait. Come on. We can cower in the shade of
Geralt," So, tell me...once we find Yennefer, what'll you do? Got your eye on a"
Vesemir, No. I'll go to Kaer Morhen.
Geralt, A little early to settle in for the winter.
Vesemir," Snows are a way off, yes...and that's what worries me. Nilfgaard's"
Geralt, Maybe. Might bring a guest.
Vesemir, Hear that? It's close.
Geralt, Let's go give it a warm welcome.
Vesemir, Wait. Take this.
Geralt, A crossbow?
Vesemir, Won it in a card game while you ran around. Might come in handy.
Geralt, A witcher with a crossbow? We breaking with tradition?
Geralt," How about that. Always lectured us on the evils, but you're a"
Vesemir, Stop talking. Got a griffin to kill.
Vesemir," Watch out! Damn, it's fast! It's about to dive!"
Vesemir, Don't let it get away!
Vesemir," Not bad, not bad. Though you could stand to improve a some things."
Geralt, Man spends his whole life learning.
Vesemir, Not a witcher. Unless he doesn't want to live long.
Geralt, For example?
Vesemir, Upward vertical strike -- it's too obvious.
Vesemir, But more on that later. Take the griffin's head to the Black Ones.
Peter, What the hell is this?
Peasant, R-rye.
Peter, You take me for a blind man or a fool? This grain is rotten.
Peasant, I--...I didn't know.
Peter," So, a fool. Dammit, you never learn... Military codex, article two,"
three," ""For the delivery of defective goods -- fifteen lashes"
Peasant," No, no, no! By the gods, no!"
Peter, What?
Geralt, Fulfilled my end of the bargain. Your turn. Where'd Yennefer go?
Peter, To Vizima.
Geralt," She was a day's ride from here the whole time, right under my nose?"
Peter," Yes, I might have. But you would not have killed the griffin. Tit for"
Geralt, Guess you've dropped your good uncle act.
Peter, It was no act. I extended a hand to these people. They spat on it.
Geralt, Could it be 'cause it held the sword that killed their loved ones?
Peter, Hah! A moralist! And what would you do in my stead?
Geralt, Wouldn't ever be in your stead.
Peter, Tell me why you've come.
Peter," Halt! We are not done. It's yours, this gold. I would not want you to"
Geralt," Yennefer's in Vizima. Got a few friends there, so... Something wrong?"
Vesemir, Look around. Trouble brewing.
Geralt, Time we were on our way.
Vesemir, Mhm.
Geralt, Who are they?
Vesemir," Patriots. Drinking their seventh round for Temeria, fists starting"
Geralt, Don't see any Nilfgaardians.
Vesemir, They'll find another foe.
Vesemir," I'll buy some provisions for the journey. Then we'll go. Geralt, we"
Woman, What happened to the Lilies?
Elsa, Took 'em down.
Woman, Took 'em down? To hang a golden sun there now?
Elsa, I cannot show Temerian colors. They'll come and burn the tavern down.
Woman, Maybe it's true what they say. You fond of the Imperials? You
Elsa, I'll let that pass. I know grief eats at your heart.
Woman, You know shit. They hanged my sister -- dragged her out o' the cloister
Elsa, Let go!
Woman," You don't fear it, you cunt?!"
Woman, Leave me be!
Vesemir, Recognize this medallion. You know what it means. Back off.
Geralt, You all right?
Patriot, They say witchers steal young'uns! 
Vesemir," Get out, all of you."
Patriot, We ain't goin' nowhere. And neither are you.
Vesemir, They won't back down now.
Geralt, I can see that.
Geralt, It's all right. It's over.
Woman, Leave me be! Get away!
Man, See his face? Gods save us!
Innkeep, Begone. And don't ever come back.
Vesemir, So much for not getting involved. Come on. Let's go.
Geralt, That brawl? We didn't start it.
Yennefer," Excuses, excuses... You've not changed a bit."
Geralt, Ye...Yen? How?
Yennefer, I received a report. About a witcher who'd appeared in White Orchard.
Geralt," Sorry... Wasn't expecting to see you. To be honest, this isn't at all"
Yennefer, How did you imagine it?
Vesemir, He didn't imagine you'd have a Nilfgaardian escort. Don't get me
Yennefer, And I shall provide it...in Vizima. Ready your horses.
Geralt," We can talk here. Some charming orchards nearby. In bloom, even, so"
Yennefer," A tempting proposition. Sadly, I must say no. You see, someone"
Geralt, Spent the last six months in the saddle. Haven't seen you for two
Yennefer," Sadly, we cannot. Someone awaits you, Geralt. Someone who doesn't"
Yennefer," Emperor Emhyr var Emreis...or, to those on more intimate terms with"
Geralt," Doubt I number among that group. Far as I remember, last time we saw"
Yennefer," Well, now he wishes to make you an offer."
Vesemir, The kind one can't refuse?
Yennefer, I didn't. Though I could have.
Geralt, Fine. Guess I'm willing to hear him out.
Yennefer," The emperor of Nilfgaard, Lord of Metinna, Ebbing and Gemmara,"
Geralt," Must've been a damn good offer, then. Not many things you'd give up"
Yennefer," The sooner we set off, the sooner you'll find out."
Geralt, What about you?
Vesemir, I'm going in the opposite direction. I somehow doubt the emperor's
Geralt," Yeah, I remember. Thanks for your help, Vesemir. See you soon."
Yennefer, How's your horse? Swift?
Geralt, Can't complain. Why do you ask?
Yennefer, I'd like to be back behind some thick city walls. As soon as
Geralt, You know...had a dream about you recently.
Yennefer," Knowing you, it was probably filthy."
Geralt, Just the beginning. But then--
Yennefer, But then?
Yennefer, Ride! Now!
Soldier, (in Nilfgaardian) Watch out!
Geralt," Yennefer, how'd they--"
Yennefer," We shall talk of this tomorrow, all right? After the audience."
Man, Hmm. It must suffice.
Geralt, Think Emhyr cares if I'm clean?
Man, The gentleman will refer to His Imperial Majesty by his full title or not
Geralt, The what now?
Man, In that...chair.
Man, Cledwyn. Please shave the gentleman -- sideburns to half an inch.
Geralt, What's wrong with my beard? Always thought it added to my dignity.
Man, It does. Yet it also detracts from your elegance. In Nilfgaard we
Geralt," Been on the road awhile. Fine, do your thing."
Geralt," Fine...then what? Gonna do my nails, too?"
Man," If time permits. Sadly, the day is short, while the list of hygienic"
Cledwyn," Tilt your head back, please. And sit still."
Man," Yes, general. The gentleman will be more or less presentable."
Geralt," Who's this guy? He a barber, too?"
Morvran, No. Morvran Voorhis. Commander of the Alba Division. Yennefer's escort
Geralt, Your men died in battle. As soldiers tend to.
Morvran, I see their fate does not trouble you...overly.
Geralt, True. But I'm guessing the fate of those whose country they invaded
Geralt, Wild Hunt killed them.
Morvran, A cavalcade of wraiths dashing across the night sky? These omens of
Geralt," Frankly, I don't really give a damn."
